customer_id,transaction_id,month_index,months_late,amount_twd,amount_usd,credit_limit_twd,paid_that_month_twd,age,education,marriage,prior_late_months,prior_observations,recovered,utilisation,payment_ratio,paid_anything,prior_late_rate,failure_code,currency,amount
uci_121,txn_uci_121_apr,0,2,51143,1585.43,50000,0,37,3,2,0,0,0,1.02286,0.0,0,0.0,insufficient_funds,TWD,51143
uci_136,txn_uci_136_apr,0,2,13891,430.62,240000,327,34,2,1,0,0,0,0.05787916666666667,0.023540421855877906,1,0.0,insufficient_funds,TWD,13891
uci_146,txn_uci_146_apr,0,3,10138,314.28,50000,0,28,1,2,0,0,1,0.20276,0.0,0,0.0,multiple_declines,TWD,10138
uci_159,txn_uci_159_apr,0,6,154105,4777.26,210000,10478,45,3,1,0,0,0,0.7338333333333333,0.06799260244638396,1,0.0,closed_account,TWD,154105
uci_162,txn_uci_162_apr,0,2,540,16.74,50000,390,27,2,2,0,0,1,0.0108,0.7222222222222222,1,0.0,insufficient_funds,TWD,540
uci_169,txn_uci_169_apr,0,2,88290,2736.99,90000,0,35,2,1,0,0,1,0.981,0.0,0,0.0,insufficient_funds,TWD,88290
uci_176,txn_uci_176_apr,0,3,71345,2211.7,130000,0,56,3,1,0,0,0,0.5488076923076923,0.0,0,0.0,multiple_declines,TWD,71345
uci_178,txn_uci_178_apr,0,2,22361,693.19,50000,2000,30,2,2,0,0,1,0.44722,0.08944143821832655,1,0.0,insufficient_funds,TWD,22361
uci_188,txn_uci_188_apr,0,2,189915,5887.36,200000,6836,47,3,2,0,0,0,0.949575,0.035995050417291945,1,0.0,insufficient_funds,TWD,189915
uci_190,txn_uci_190_apr,0,2,20487,635.1,20000,0,31,2,2,0,0,0,1.02435,0.0,0,0.0,insufficient_funds,TWD,20487
uci_196,txn_uci_196_apr,0,2,40035,1241.08,50000,0,24,1,2,0,0,0,0.8007,0.0,0,0.0,insufficient_funds,TWD,40035
uci_202,txn_uci_202_apr,0,2,10833,335.82,140000,2500,31,1,2,0,0,1,0.07737857142857144,0.23077633157943322,1,0.0,insufficient_funds,TWD,10833
uci_216,txn_uci_216_apr,0,2,780,24.18,30000,0,42,3,1,0,0,1,0.026,0.0,0,0.0,insufficient_funds,TWD,780
uci_234,txn_uci_234_apr,0,2,150052,4651.61,190000,2769,34,2,2,0,0,0,0.7897473684210526,0.018453602751046305,1,0.0,insufficient_funds,TWD,150052
uci_245,txn_uci_245_apr,0,2,79,2.45,30000,60,40,1,2,0,0,0,0.0026333333333333334,0.759493670886076,1,0.0,insufficient_funds,TWD,79
uci_267,txn_uci_267_apr,0,2,9411,291.74,10000,175,23,3,2,0,0,1,0.9411,0.018595260864945277,1,0.0,insufficient_funds,TWD,9411
uci_293,txn_uci_293_apr,0,2,2566,79.55,30000,0,43,2,1,0,0,0,0.08553333333333334,0.0,0,0.0,insufficient_funds,TWD,2566
uci_309,txn_uci_309_apr,0,4,14514,449.93,30000,1500,55,3,1,0,0,0,0.4838,0.10334849111202976,1,0.0,multiple_declines,TWD,14514
uci_330,txn_uci_330_apr,0,2,109428,3392.27,150000,4200,40,1,1,0,0,0,0.72952,0.03838140146945937,1,0.0,insufficient_funds,TWD,109428
uci_343,txn_uci_343_apr,0,2,24248,751.69,200000,1000,29,1,2,0,0,1,0.12124,0.04124051468162323,1,0.0,insufficient_funds,TWD,24248
uci_355,txn_uci_355_apr,0,2,18856,584.54,50000,638,58,3,1,0,0,1,0.37712,0.0338353839626644,1,0.0,insufficient_funds,TWD,18856
uci_373,txn_uci_373_apr,0,2,48767,1511.78,90000,2000,34,1,2,0,0,0,0.5418555555555555,0.04101133963540919,1,0.0,insufficient_funds,TWD,48767
uci_377,txn_uci_377_apr,0,2,24242,751.5,30000,1000,43,2,1,0,0,1,0.8080666666666667,0.041250721887633034,1,0.0,insufficient_funds,TWD,24242
uci_388,txn_uci_388_apr,0,2,75018,2325.56,80000,5100,73,3,1,0,0,0,0.937725,0.0679836839158602,1,0.0,insufficient_funds,TWD,75018
uci_400,txn_uci_400_apr,0,2,117167,3632.18,120000,4400,25,2,2,0,0,0,0.9763916666666667,0.037553235979414,1,0.0,insufficient_funds,TWD,117167
uci_403,txn_uci_403_apr,0,2,822,25.48,150000,472,41,1,2,0,0,1,0.00548,0.5742092457420924,1,0.0,insufficient_funds,TWD,822
uci_405,txn_uci_405_apr,0,2,153800,4767.8,160000,5654,29,1,2,0,0,0,0.96125,0.036762028608582575,1,0.0,insufficient_funds,TWD,153800
uci_411,txn_uci_411_apr,0,2,32965,1021.92,60000,1200,23,1,2,0,0,0,0.5494166666666667,0.036402244805096316,1,0.0,insufficient_funds,TWD,32965
uci_418,txn_uci_418_apr,0,2,18990,588.69,50000,1000,30,1,2,0,0,1,0.3798,0.0526592943654555,1,0.0,insufficient_funds,TWD,18990
uci_421,txn_uci_421_apr,0,2,29371,910.5,30000,1800,24,1,2,0,0,1,0.9790333333333333,0.061284940928126384,1,0.0,insufficient_funds,TWD,29371
uci_436,txn_uci_436_apr,0,2,221413,6863.8,270000,0,32,2,1,0,0,0,0.8200481481481482,0.0,0,0.0,insufficient_funds,TWD,221413
uci_442,txn_uci_442_apr,0,2,89522,2775.18,100000,3200,32,1,2,0,0,0,0.89522,0.03574540336453609,1,0.0,insufficient_funds,TWD,89522
uci_457,txn_uci_457_apr,0,2,75820,2350.42,130000,6000,39,3,2,0,0,0,0.5832307692307692,0.07913479293062517,1,0.0,insufficient_funds,TWD,75820
uci_474,txn_uci_474_apr,0,2,35002,1085.06,60000,0,38,3,1,0,0,1,0.5833666666666667,0.0,0,0.0,insufficient_funds,TWD,35002
uci_481,txn_uci_481_apr,0,2,919,28.49,250000,67619,40,2,1,0,0,1,0.003676,2.0,1,0.0,insufficient_funds,TWD,919
uci_482,txn_uci_482_apr,0,2,130271,4038.4,140000,5400,26,2,2,0,0,0,0.9305071428571429,0.04145204995739651,1,0.0,insufficient_funds,TWD,130271
uci_483,txn_uci_483_apr,0,2,4162,129.02,70000,0,28,2,2,0,0,1,0.059457142857142854,0.0,0,0.0,insufficient_funds,TWD,4162
uci_484,txn_uci_484_apr,0,2,59378,1840.72,90000,4086,48,3,1,0,0,0,0.6597555555555555,0.06881336521944155,1,0.0,insufficient_funds,TWD,59378
uci_501,txn_uci_501_apr,0,2,24576,761.86,30000,1200,38,2,1,0,0,0,0.8192,0.048828125,1,0.0,insufficient_funds,TWD,24576
uci_502,txn_uci_502_apr,0,2,30548,946.99,90000,2000,35,2,1,0,0,0,0.33942222222222224,0.065470734581642,1,0.0,insufficient_funds,TWD,30548
uci_508,txn_uci_508_apr,0,2,34661,1074.49,180000,2000,28,2,2,0,0,1,0.1925611111111111,0.05770173970745218,1,0.0,insufficient_funds,TWD,34661
uci_509,txn_uci_509_apr,0,2,5515,170.96,80000,500,30,2,1,0,0,1,0.0689375,0.09066183136899365,1,0.0,insufficient_funds,TWD,5515
uci_511,txn_uci_511_apr,0,2,390,12.09,130000,780,31,2,1,0,0,1,0.003,2.0,1,0.0,insufficient_funds,TWD,390
uci_514,txn_uci_514_apr,0,2,33081,1025.51,50000,1500,23,2,2,0,0,0,0.66162,0.04534324839031468,1,0.0,insufficient_funds,TWD,33081
uci_527,txn_uci_527_apr,0,2,20241,627.47,20000,300,27,2,2,0,0,1,1.01205,0.014821402104639099,1,0.0,insufficient_funds,TWD,20241
uci_534,txn_uci_534_apr,0,2,62524,1938.24,100000,2500,50,3,1,0,0,0,0.62524,0.039984645895975945,1,0.0,insufficient_funds,TWD,62524
uci_540,txn_uci_540_apr,0,2,101213,3137.6,110000,3800,40,2,1,0,0,0,0.9201181818181818,0.03754458419373005,1,0.0,insufficient_funds,TWD,101213
uci_558,txn_uci_558_apr,0,2,83206,2579.39,110000,3000,32,2,2,0,0,0,0.7564181818181818,0.036055092180852344,1,0.0,insufficient_funds,TWD,83206
uci_565,txn_uci_565_apr,0,2,2698,83.64,390000,3,45,1,2,0,0,0,0.006917948717948718,0.001111934766493699,1,0.0,insufficient_funds,TWD,2698
uci_586,txn_uci_586_apr,0,2,17618,546.16,20000,800,25,1,2,0,0,1,0.8809,0.0454081053468044,1,0.0,insufficient_funds,TWD,17618
uci_604,txn_uci_604_apr,0,2,29930,927.83,140000,3000,28,2,2,0,0,1,0.21378571428571427,0.10023387905111927,1,0.0,insufficient_funds,TWD,29930
uci_606,txn_uci_606_apr,0,2,24549,761.02,50000,1030,34,1,2,0,0,0,0.49098,0.041956902521487635,1,0.0,insufficient_funds,TWD,24549
uci_615,txn_uci_615_apr,0,2,125478,3889.82,190000,5000,37,2,1,0,0,0,0.6604105263157894,0.03984762269083027,1,0.0,insufficient_funds,TWD,125478
uci_632,txn_uci_632_apr,0,2,33138,1027.28,50000,2000,23,2,2,0,0,1,0.66276,0.0603536725209729,1,0.0,insufficient_funds,TWD,33138
uci_649,txn_uci_649_apr,0,2,195874,6072.09,280000,15000,44,2,1,0,0,0,0.69955,0.07657984214341873,1,0.0,insufficient_funds,TWD,195874
uci_650,txn_uci_650_apr,0,3,18148,562.59,20000,0,46,2,2,0,0,0,0.9074,0.0,0,0.0,multiple_declines,TWD,18148
uci_665,txn_uci_665_apr,0,2,30456,944.14,40000,0,32,2,1,0,0,0,0.7614,0.0,0,0.0,insufficient_funds,TWD,30456
uci_667,txn_uci_667_apr,0,2,59480,1843.88,70000,2258,27,3,1,0,0,1,0.8497142857142858,0.03796234028244788,1,0.0,insufficient_funds,TWD,59480
uci_669,txn_uci_669_apr,0,2,101492,3146.25,100000,0,35,3,1,0,0,0,1.01492,0.0,0,0.0,insufficient_funds,TWD,101492
uci_671,txn_uci_671_apr,0,2,36904,1144.02,30000,3095,34,2,2,0,0,0,1.2301333333333333,0.08386624756123998,1,0.0,insufficient_funds,TWD,36904
uci_674,txn_uci_674_apr,0,6,1800,55.8,30000,0,25,2,2,0,0,0,0.06,0.0,0,0.0,closed_account,TWD,1800
uci_676,txn_uci_676_apr,0,2,28306,877.49,90000,1300,42,3,2,0,0,0,0.31451111111111113,0.04592665865894157,1,0.0,insufficient_funds,TWD,28306
uci_677,txn_uci_677_apr,0,2,169928,5267.77,190000,7000,40,2,2,0,0,0,0.8943578947368421,0.041193917423850104,1,0.0,insufficient_funds,TWD,169928
uci_694,txn_uci_694_apr,0,2,59329,1839.2,70000,2500,30,1,2,0,0,1,0.8475571428571429,0.04213790894840634,1,0.0,insufficient_funds,TWD,59329
uci_705,txn_uci_705_apr,0,2,26357,817.07,30000,2500,22,2,3,0,0,0,0.8785666666666667,0.09485146260955343,1,0.0,insufficient_funds,TWD,26357
uci_708,txn_uci_708_apr,0,2,14673,454.86,30000,0,46,3,1,0,0,0,0.4891,0.0,0,0.0,insufficient_funds,TWD,14673
uci_725,txn_uci_725_apr,0,2,31401,973.43,80000,0,34,2,2,0,0,0,0.3925125,0.0,0,0.0,insufficient_funds,TWD,31401
uci_730,txn_uci_730_apr,0,2,1023,31.71,60000,0,29,1,2,0,0,0,0.01705,0.0,0,0.0,insufficient_funds,TWD,1023
uci_750,txn_uci_750_apr,0,3,34365,1065.32,50000,3000,25,2,2,0,0,0,0.6873,0.08729812309035356,1,0.0,multiple_declines,TWD,34365
uci_761,txn_uci_761_apr,0,2,18711,580.04,50000,900,52,2,2,0,0,1,0.37422,0.0481000481000481,1,0.0,insufficient_funds,TWD,18711
uci_780,txn_uci_780_apr,0,2,32851,1018.38,50000,2420,31,2,2,0,0,1,0.65702,0.07366594624212353,1,0.0,insufficient_funds,TWD,32851
uci_783,txn_uci_783_apr,0,2,87096,2699.98,100000,3280,28,1,2,0,0,0,0.87096,0.03765959401120603,1,0.0,insufficient_funds,TWD,87096
uci_808,txn_uci_808_apr,0,2,19953,618.54,20000,0,36,3,2,0,0,0,0.99765,0.0,0,0.0,insufficient_funds,TWD,19953
uci_809,txn_uci_809_apr,0,2,35171,1090.3,190000,1400,26,1,2,0,0,1,0.18511052631578948,0.03980552159449546,1,0.0,insufficient_funds,TWD,35171
uci_815,txn_uci_815_apr,0,2,72215,2238.66,120000,0,33,3,1,0,0,0,0.6017916666666666,0.0,0,0.0,insufficient_funds,TWD,72215
uci_818,txn_uci_818_apr,0,2,6204,192.32,20000,4739,24,3,2,0,0,1,0.3102,0.7638620245003224,1,0.0,insufficient_funds,TWD,6204
uci_827,txn_uci_827_apr,0,2,28607,886.82,50000,1000,24,2,1,0,0,1,0.57214,0.03495647918341665,1,0.0,insufficient_funds,TWD,28607
uci_828,txn_uci_828_apr,0,2,5923,183.61,10000,0,37,2,2,0,0,0,0.5923,0.0,0,0.0,insufficient_funds,TWD,5923
uci_832,txn_uci_832_apr,0,3,21162,656.02,20000,0,24,3,1,0,0,0,1.0581,0.0,0,0.0,multiple_declines,TWD,21162
uci_837,txn_uci_837_apr,0,2,25476,789.76,80000,0,23,2,2,0,0,0,0.31845,0.0,0,0.0,insufficient_funds,TWD,25476
uci_851,txn_uci_851_apr,0,6,44059,1365.83,40000,0,23,2,2,0,0,0,1.101475,0.0,0,0.0,closed_account,TWD,44059
uci_857,txn_uci_857_apr,0,2,34487,1069.1,40000,0,29,1,2,0,0,0,0.862175,0.0,0,0.0,insufficient_funds,TWD,34487
uci_858,txn_uci_858_apr,0,2,53176,1648.46,100000,4500,43,3,1,0,0,0,0.53176,0.08462464269595306,1,0.0,insufficient_funds,TWD,53176
uci_863,txn_uci_863_apr,0,7,2450,75.95,30000,0,52,3,2,0,0,0,0.08166666666666667,0.0,0,0.0,closed_account,TWD,2450
uci_876,txn_uci_876_apr,0,2,29818,924.36,30000,1000,25,2,1,0,0,1,0.9939333333333333,0.03353678985847475,1,0.0,insufficient_funds,TWD,29818
uci_880,txn_uci_880_apr,0,2,18844,584.16,20000,1000,43,2,1,0,0,1,0.9422,0.05306728932286139,1,0.0,insufficient_funds,TWD,18844
uci_889,txn_uci_889_apr,0,2,14422,447.08,90000,102,24,2,2,0,0,1,0.16024444444444444,0.007072528082096796,1,0.0,insufficient_funds,TWD,14422
uci_897,txn_uci_897_apr,0,2,101577,3148.89,110000,0,55,1,3,0,0,0,0.9234272727272728,0.0,0,0.0,insufficient_funds,TWD,101577
uci_898,txn_uci_898_apr,0,2,145012,4495.37,170000,5656,28,1,2,0,0,0,0.8530117647058824,0.03900366866190384,1,0.0,insufficient_funds,TWD,145012
uci_905,txn_uci_905_apr,0,2,63293,1962.08,80000,2000,40,2,2,0,0,0,0.7911625,0.031599070987312974,1,0.0,insufficient_funds,TWD,63293
uci_906,txn_uci_906_apr,0,2,29086,901.67,30000,1576,27,2,2,0,0,1,0.9695333333333334,0.05418414357422815,1,0.0,insufficient_funds,TWD,29086
uci_907,txn_uci_907_apr,0,2,2699,83.67,50000,0,30,1,2,0,0,0,0.05398,0.0,0,0.0,insufficient_funds,TWD,2699
uci_934,txn_uci_934_apr,0,2,12566,389.55,30000,1000,32,2,2,0,0,0,0.41886666666666666,0.07957981855801369,1,0.0,insufficient_funds,TWD,12566
uci_941,txn_uci_941_apr,0,2,19630,608.53,50000,1000,25,1,2,0,0,1,0.3926,0.05094243504839532,1,0.0,insufficient_funds,TWD,19630
uci_944,txn_uci_944_apr,0,3,300,9.3,80000,0,24,2,2,0,0,0,0.00375,0.0,0,0.0,multiple_declines,TWD,300
uci_956,txn_uci_956_apr,0,2,19939,618.11,160000,0,41,1,1,0,0,0,0.12461875,0.0,0,0.0,insufficient_funds,TWD,19939
uci_982,txn_uci_982_apr,0,3,30558,947.3,30000,0,29,2,2,0,0,0,1.0186,0.0,0,0.0,multiple_declines,TWD,30558
uci_989,txn_uci_989_apr,0,2,279503,8664.59,360000,126685,25,2,2,0,0,0,0.7763972222222222,0.45325094900591406,1,0.0,insufficient_funds,TWD,279503
uci_997,txn_uci_997_apr,0,2,46383,1437.87,140000,1495,45,1,1,0,0,0,0.33130714285714286,0.03223163659099239,1,0.0,insufficient_funds,TWD,46383
uci_1011,txn_uci_1011_apr,0,2,132964,4121.88,280000,5000,31,1,2,0,0,1,0.47487142857142856,0.03760416353298637,1,0.0,insufficient_funds,TWD,132964
uci_1026,txn_uci_1026_apr,0,2,129870,4025.97,180000,1300,38,1,1,0,0,1,0.7215,0.01001001001001001,1,0.0,insufficient_funds,TWD,129870
uci_1030,txn_uci_1030_apr,0,2,26855,832.5,30000,2302,67,2,1,0,0,0,0.8951666666666667,0.08571960528765593,1,0.0,insufficient_funds,TWD,26855
uci_1036,txn_uci_1036_apr,0,2,49764,1542.68,60000,2000,27,2,2,0,0,0,0.8294,0.04018969536210915,1,0.0,insufficient_funds,TWD,49764
uci_1045,txn_uci_1045_apr,0,2,19994,619.81,20000,2658,22,1,2,0,0,0,0.9997,0.1329398819645894,1,0.0,insufficient_funds,TWD,19994
uci_1082,txn_uci_1082_apr,0,2,10091,312.82,10000,0,32,2,1,0,0,0,1.0091,0.0,0,0.0,insufficient_funds,TWD,10091
uci_1083,txn_uci_1083_apr,0,2,37131,1151.06,60000,1700,30,1,2,0,0,0,0.61885,0.045783846381729554,1,0.0,insufficient_funds,TWD,37131
uci_1084,txn_uci_1084_apr,0,2,49502,1534.56,50000,1600,25,1,2,0,0,0,0.99004,0.03232192638681265,1,0.0,insufficient_funds,TWD,49502
uci_1122,txn_uci_1122_apr,0,2,1735,53.78,20000,0,30,2,2,0,0,0,0.08675,0.0,0,0.0,insufficient_funds,TWD,1735
uci_1130,txn_uci_1130_apr,0,2,48789,1512.46,50000,1885,23,2,2,0,0,0,0.97578,0.03863575806021849,1,0.0,insufficient_funds,TWD,48789
uci_1133,txn_uci_1133_apr,0,4,278436,8631.52,270000,0,44,1,1,0,0,0,1.0312444444444444,0.0,0,0.0,multiple_declines,TWD,278436
uci_1134,txn_uci_1134_apr,0,2,34420,1067.02,50000,1000,36,2,1,0,0,1,0.6884,0.02905287623474724,1,0.0,insufficient_funds,TWD,34420
uci_1139,txn_uci_1139_apr,0,2,81977,2541.29,130000,2300,44,3,1,0,0,1,0.6305923076923077,0.028056650035985703,1,0.0,insufficient_funds,TWD,81977
uci_1142,txn_uci_1142_apr,0,2,19239,596.41,30000,323,25,1,2,0,0,1,0.6413,0.016788814387442175,1,0.0,insufficient_funds,TWD,19239
uci_1147,txn_uci_1147_apr,0,7,2400,74.4,70000,0,31,1,2,0,0,0,0.03428571428571429,0.0,0,0.0,closed_account,TWD,2400
uci_1153,txn_uci_1153_apr,0,2,55176,1710.46,180000,2200,42,2,2,0,0,0,0.3065333333333333,0.03987240829346093,1,0.0,insufficient_funds,TWD,55176
uci_1155,txn_uci_1155_apr,0,2,9537,295.65,20000,0,47,3,1,0,0,1,0.47685,0.0,0,0.0,insufficient_funds,TWD,9537
uci_1207,txn_uci_1207_apr,0,2,25709,796.98,70000,1100,49,3,1,0,0,0,0.3672714285714286,0.042786572795519076,1,0.0,insufficient_funds,TWD,25709
uci_1233,txn_uci_1233_apr,0,2,50424,1563.14,50000,0,47,1,1,0,0,0,1.00848,0.0,0,0.0,insufficient_funds,TWD,50424
uci_1247,txn_uci_1247_apr,0,3,86299,2675.27,170000,3100,39,1,1,0,0,0,0.5076411764705883,0.0359216213397606,1,0.0,multiple_declines,TWD,86299
uci_1250,txn_uci_1250_apr,0,7,2400,74.4,350000,0,52,1,1,0,0,0,0.006857142857142857,0.0,0,0.0,closed_account,TWD,2400
uci_1269,txn_uci_1269_apr,0,2,19143,593.43,120000,1600,37,2,2,0,0,1,0.159525,0.08358146580995664,1,0.0,insufficient_funds,TWD,19143
uci_1295,txn_uci_1295_apr,0,2,977,30.29,300000,19480,41,2,2,0,0,1,0.003256666666666667,2.0,1,0.0,insufficient_funds,TWD,977
uci_1315,txn_uci_1315_apr,0,2,4822,149.48,50000,1000,37,1,1,0,0,1,0.09644,0.20738282870178348,1,0.0,insufficient_funds,TWD,4822
uci_1328,txn_uci_1328_apr,0,2,8820,273.42,180000,0,25,2,2,0,0,0,0.049,0.0,0,0.0,insufficient_funds,TWD,8820
uci_1337,txn_uci_1337_apr,0,2,46384,1437.9,70000,3700,26,2,2,0,0,0,0.6626285714285715,0.07976888582269748,1,0.0,insufficient_funds,TWD,46384
uci_1365,txn_uci_1365_apr,0,2,19629,608.5,120000,0,46,1,1,0,0,0,0.163575,0.0,0,0.0,insufficient_funds,TWD,19629
uci_1366,txn_uci_1366_apr,0,2,20718,642.26,20000,0,47,2,1,0,0,1,1.0359,0.0,0,0.0,insufficient_funds,TWD,20718
uci_1373,txn_uci_1373_apr,0,3,350,10.85,270000,0,42,1,1,0,0,0,0.0012962962962962963,0.0,0,0.0,multiple_declines,TWD,350
uci_1376,txn_uci_1376_apr,0,2,6832,211.79,30000,0,50,3,2,0,0,1,0.22773333333333334,0.0,0,0.0,insufficient_funds,TWD,6832
uci_1380,txn_uci_1380_apr,0,2,80138,2484.28,80000,8,26,3,2,0,0,0,1.001725,9.98277970500886e-05,1,0.0,insufficient_funds,TWD,80138
uci_1381,txn_uci_1381_apr,0,2,58700,1819.7,60000,2200,31,2,1,0,0,0,0.9783333333333334,0.03747870528109029,1,0.0,insufficient_funds,TWD,58700
uci_1390,txn_uci_1390_apr,0,2,16259,504.03,20000,700,22,2,2,0,0,1,0.81295,0.0430530782950981,1,0.0,insufficient_funds,TWD,16259
uci_1391,txn_uci_1391_apr,0,2,32232,999.19,60000,2300,37,2,1,0,0,0,0.5372,0.07135765698684537,1,0.0,insufficient_funds,TWD,32232
uci_1397,txn_uci_1397_apr,0,2,102460,3176.26,180000,0,24,2,2,0,0,0,0.5692222222222222,0.0,0,0.0,insufficient_funds,TWD,102460
uci_1400,txn_uci_1400_apr,0,2,7737,239.85,50000,100,23,1,2,0,0,1,0.15474,0.012924906294429366,1,0.0,insufficient_funds,TWD,7737
uci_1418,txn_uci_1418_apr,0,3,1204,37.32,80000,0,29,1,2,0,0,0,0.01505,0.0,0,0.0,multiple_declines,TWD,1204
uci_1429,txn_uci_1429_apr,0,2,83366,2584.35,210000,4300,37,1,1,0,0,0,0.3969809523809524,0.051579780725955426,1,0.0,insufficient_funds,TWD,83366
uci_1432,txn_uci_1432_apr,0,2,55797,1729.71,70000,2100,42,2,1,0,0,0,0.7971,0.03763643206624012,1,0.0,insufficient_funds,TWD,55797
uci_1433,txn_uci_1433_apr,0,2,182160,5646.96,230000,0,32,2,2,0,0,0,0.792,0.0,0,0.0,insufficient_funds,TWD,182160
uci_1436,txn_uci_1436_apr,0,2,36196,1122.08,100000,1511,31,1,2,0,0,0,0.36196,0.04174494419272848,1,0.0,insufficient_funds,TWD,36196
uci_1441,txn_uci_1441_apr,0,2,54366,1685.35,70000,2300,24,1,2,0,0,0,0.7766571428571428,0.04230585292278262,1,0.0,insufficient_funds,TWD,54366
uci_1445,txn_uci_1445_apr,0,3,32194,998.01,40000,0,24,1,2,0,0,1,0.80485,0.0,0,0.0,multiple_declines,TWD,32194
uci_1446,txn_uci_1446_apr,0,2,73444,2276.76,80000,5300,25,2,2,0,0,0,0.91805,0.07216382549970045,1,0.0,insufficient_funds,TWD,73444
uci_1454,txn_uci_1454_apr,0,2,17524,543.24,20000,0,25,2,2,0,0,0,0.8762,0.0,0,0.0,insufficient_funds,TWD,17524
uci_1456,txn_uci_1456_apr,0,2,19947,618.36,20000,545,32,2,1,0,0,1,0.99735,0.0273224043715847,1,0.0,insufficient_funds,TWD,19947
uci_1461,txn_uci_1461_apr,0,3,1050,32.55,50000,0,37,2,1,0,0,0,0.021,0.0,0,0.0,multiple_declines,TWD,1050
uci_1462,txn_uci_1462_apr,0,2,30486,945.07,120000,1500,36,1,2,0,0,1,0.25405,0.04920291281243849,1,0.0,insufficient_funds,TWD,30486
uci_1486,txn_uci_1486_apr,0,6,1800,55.8,20000,0,44,2,3,0,0,0,0.09,0.0,0,0.0,closed_account,TWD,1800
uci_1490,txn_uci_1490_apr,0,2,14528,450.37,50000,0,29,1,2,0,0,0,0.29056,0.0,0,0.0,insufficient_funds,TWD,14528
uci_1517,txn_uci_1517_apr,0,2,44305,1373.46,50000,0,25,2,2,0,0,1,0.8861,0.0,0,0.0,insufficient_funds,TWD,44305
uci_1518,txn_uci_1518_apr,0,2,191895,5948.74,190000,9500,49,3,1,0,0,0,1.0099736842105262,0.04950624039188098,1,0.0,insufficient_funds,TWD,191895
uci_1519,txn_uci_1519_apr,0,2,278260,8626.06,290000,0,27,1,2,0,0,0,0.9595172413793104,0.0,0,0.0,insufficient_funds,TWD,278260
uci_1522,txn_uci_1522_apr,0,2,10055,311.7,60000,0,40,2,2,0,0,0,0.16758333333333333,0.0,0,0.0,insufficient_funds,TWD,10055
uci_1524,txn_uci_1524_apr,0,2,30603,948.69,30000,0,27,1,2,0,0,0,1.0201,0.0,0,0.0,insufficient_funds,TWD,30603
uci_1526,txn_uci_1526_apr,0,2,14518,450.06,20000,200,35,2,2,0,0,0,0.7259,0.013776002204160353,1,0.0,insufficient_funds,TWD,14518
uci_1533,txn_uci_1533_apr,0,3,20474,634.69,20000,0,25,2,2,0,0,0,1.0237,0.0,0,0.0,multiple_declines,TWD,20474
uci_1559,txn_uci_1559_apr,0,2,41269,1279.34,50000,1704,31,3,1,0,0,0,0.82538,0.041290072451476895,1,0.0,insufficient_funds,TWD,41269
uci_1572,txn_uci_1572_apr,0,2,13502,418.56,150000,1000,33,2,1,0,0,1,0.09001333333333333,0.07406310176270182,1,0.0,insufficient_funds,TWD,13502
uci_1576,txn_uci_1576_apr,0,2,86850,2692.35,230000,3000,25,2,2,0,0,1,0.3776086956521739,0.03454231433506045,1,0.0,insufficient_funds,TWD,86850
