customer_id,month,delinquency_months,amount_at_risk,paid_last_month,credit_limit,age,recovered
2464,0,2,19464,817,20000,27,0
2471,0,2,88085,2304,140000,29,0
2472,0,2,12357,500,20000,29,0
2476,0,2,30360,0,30000,25,0
2483,0,2,2917,0,200000,34,0
2490,0,2,13392,0,10000,23,0
2491,0,2,66658,0,200000,30,1
2510,0,4,27531,0,30000,28,0
2542,0,2,56013,2300,100000,35,0
2560,0,2,16178,600,80000,28,0
2563,0,2,136475,5000,140000,40,0
2580,0,2,21629,1000,20000,22,0
2590,0,2,64979,2563,210000,35,1
2623,0,2,71738,4000,100000,24,1
2643,0,3,28574,0,50000,25,1
2655,0,2,33458,1141,50000,23,1
2657,0,2,28256,500,100000,27,0
2658,0,2,41389,0,40000,25,0
2659,0,2,112141,0,180000,46,0
2665,0,2,19439,1000,50000,36,1
2673,0,2,150,780,30000,41,1
2685,0,2,47606,2000,60000,42,1
2715,0,2,30152,0,30000,35,0
2729,0,2,13247,10000,30000,42,1
2731,0,2,34759,0,50000,30,0
2738,0,2,140600,5200,240000,47,0
2757,0,2,200057,2500,200000,31,0
2773,0,2,46495,0,50000,25,0
2818,0,2,41293,1700,50000,24,0
2822,0,3,1801,0,30000,60,1
2829,0,2,5700,0,80000,24,1
2843,0,2,13989,0,110000,51,0
2844,0,2,113290,8932,120000,28,0
2847,0,2,165288,5000,350000,31,1
2852,0,2,11022,1000,30000,39,1
2853,0,2,82150,2500,90000,24,0
2855,0,2,18981,0,50000,25,0
2865,0,2,33519,0,50000,46,0
2902,0,2,325,650,210000,39,1
2909,0,2,55392,0,100000,35,1
2910,0,2,370,3046,220000,25,1
2917,0,3,23567,300,20000,26,0
2927,0,2,28130,2000,30000,34,0
2945,0,2,91060,0,90000,28,0
2958,0,2,1000,1580,120000,32,1
2969,0,2,101176,4000,170000,38,0
2974,0,2,300,0,30000,24,0
2991,0,2,33042,1228,50000,52,0
3008,0,2,5475,0,10000,24,0
3010,0,2,25098,1092,30000,25,1
3019,0,2,11404,4000,20000,34,0
3023,0,3,12778,0,20000,25,1
3024,0,2,62181,2500,100000,36,0
3025,0,2,138819,4000,100000,36,1
3034,0,2,569,1188,50000,54,0
3041,0,2,34736,1500,60000,38,0
3044,0,2,48592,0,70000,40,0
3047,0,2,309446,23500,330000,41,0
3062,0,2,29175,1000,70000,27,1
3064,0,2,48454,3000,50000,25,1
3076,0,2,13680,0,200000,29,0
3087,0,7,300,0,30000,24,0
3094,0,2,260472,200,230000,30,0
3130,0,2,105614,8100,180000,29,0
3144,0,2,55722,2200,70000,41,0
3174,0,2,20174,220,20000,22,1
3179,0,2,9415,1000,10000,24,1
3192,0,2,19390,1000,70000,23,0
3195,0,2,5899,0,20000,38,0
3196,0,2,12245,0,20000,39,0
3211,0,2,190628,5000,230000,30,0
3217,0,2,18722,1000,20000,25,0
3234,0,2,29334,0,30000,26,0
3240,0,3,2202,0,240000,44,0
3242,0,2,109831,0,200000,40,0
3246,0,2,19222,1,30000,26,0
3257,0,2,79133,5000,80000,24,0
3262,0,2,200,16115,220000,33,1
3271,0,2,103251,11,320000,29,0
3273,0,2,31988,3213,50000,23,1
3276,0,2,1013,2821,20000,59,0
3288,0,2,15019,0,30000,30,0
3298,0,2,6578,2000,160000,34,1
3299,0,2,150,686,230000,26,0
3320,0,2,1621,32,210000,27,1
3337,0,2,22708,1000,80000,31,0
3339,0,2,8819,0,10000,24,0
3349,0,2,62965,4400,80000,44,0
3351,0,2,24310,780,30000,44,0
3354,0,2,47182,2000,100000,33,0
3359,0,2,67557,2500,130000,28,1
3360,0,2,48731,2000,120000,34,1
3361,0,2,136604,10000,150000,42,1
3362,0,2,1336,3167,310000,39,1
3379,0,4,37,0,30000,28,0
3384,0,2,14116,0,110000,36,0
3395,0,2,159,2000,90000,33,1
3405,0,2,52457,2000,80000,30,1
3431,0,2,2748,2730,240000,40,1
3442,0,2,48253,2000,110000,33,0
3457,0,2,25970,2500,50000,29,0
3458,0,2,200564,7053,280000,46,0
3486,0,2,42743,4000,50000,42,1
3489,0,2,23782,1130,30000,30,1
3499,0,2,160,3400,60000,28,1
3501,0,2,21170,1900,30000,56,0
3513,0,2,46536,4000,60000,28,0
3528,0,2,10046,1500,20000,50,0
3536,0,2,19254,800,90000,35,0
3538,0,2,210491,97,220000,28,0
3540,0,4,29158,0,30000,45,0
3555,0,2,80752,0,80000,35,1
3561,0,2,10749,1300,80000,57,0
3562,0,2,67893,2800,90000,33,0
3573,0,2,19863,400,20000,24,0
3576,0,2,49529,0,60000,28,0
3590,0,2,52333,4046,70000,26,0
3593,0,2,20192,0,20000,51,1
3600,0,2,5706,7328,150000,23,1
3606,0,3,30468,0,30000,31,0
3608,0,2,31914,0,200000,59,0
3613,0,2,75294,3150,80000,27,0
3641,0,2,31914,1332,50000,41,0
3645,0,2,29102,0,30000,34,1
3649,0,2,771,51362,230000,36,1
3664,0,3,1050,0,30000,24,0
3676,0,2,9703,292,10000,25,1
3683,0,2,19417,652,20000,23,1
3713,0,2,832,1500,60000,36,1
3729,0,2,111219,4000,110000,28,1
3767,0,2,53142,0,100000,40,0
3774,0,2,675,23715,140000,66,1
3786,0,2,23207,2000,80000,43,0
3832,0,2,40257,2000,60000,28,1
3840,0,2,30040,1500,50000,28,1
3845,0,2,12860,10000,430000,33,0
3849,0,2,47724,1900,70000,29,0
3860,0,2,7945,0,20000,32,0
3870,0,2,26639,2000,90000,26,1
3873,0,2,29755,1141,30000,49,0
3879,0,3,1050,0,20000,26,0
3902,0,2,11250,1600,50000,27,0
3910,0,2,204957,10000,220000,30,0
3911,0,2,390,780,50000,32,1
3932,0,2,121650,0,120000,34,0
3936,0,2,124168,0,130000,32,0
3938,0,2,45710,0,60000,30,0
3949,0,2,51459,2112,50000,25,1
3951,0,2,79608,2800,120000,30,1
3959,0,2,41770,3387,50000,42,0
3961,0,3,20474,0,20000,31,1
3964,0,2,21841,0,90000,23,0
3967,0,4,54759,0,60000,25,0
3984,0,2,54235,3000,80000,30,1
3991,0,2,145071,11077,240000,47,0
3993,0,2,20126,0,20000,22,0
3999,0,2,12744,1000,20000,23,0
4000,0,2,5612,3000,170000,39,1
4007,0,3,1050,0,10000,46,0
4014,0,2,20444,0,20000,22,0
4016,0,2,91007,6950,100000,33,0
4020,0,2,28776,0,30000,27,0
4040,0,2,140505,5000,140000,38,0
4042,0,2,14313,1230,20000,36,0
4049,0,2,91783,3300,150000,39,0
4057,0,2,53985,6200,60000,26,0
4070,0,2,76521,0,150000,30,0
4083,0,2,120546,4500,120000,45,1
4085,0,2,10891,419,30000,24,0
4093,0,2,4501,1000,50000,33,0
4094,0,2,26172,2000,100000,31,0
4096,0,2,6687,291,80000,43,0
4103,0,2,5777,726,240000,36,1
4108,0,2,211614,0,290000,63,1
4125,0,2,54703,0,60000,43,0
4146,0,2,47649,0,50000,46,0
4161,0,2,35659,3001,50000,25,0
4166,0,6,33248,10000,50000,51,0
4170,0,2,28242,1500,60000,46,0
4189,0,2,272059,9755,310000,43,0
4190,0,2,8559,500,10000,41,0
4193,0,2,13362,494,50000,51,0
4194,0,2,9248,0,10000,22,0
4203,0,2,1000,1203,200000,29,1
4209,0,2,31018,0,30000,23,0
4213,0,2,35921,3000,70000,31,0
4217,0,2,326,326,180000,24,1
4218,0,2,48865,0,50000,33,0
4222,0,2,112055,7000,150000,36,1
4247,0,2,8741,500,50000,35,1
4249,0,3,53374,0,90000,42,0
4263,0,3,37253,0,50000,32,1
4297,0,2,130419,0,290000,40,1
4325,0,2,20219,663,20000,49,0
4331,0,4,30858,0,30000,26,0
4333,0,2,41947,3462,300000,39,0
4337,0,3,346216,0,330000,39,0
4341,0,2,358401,13000,380000,34,0
4348,0,2,3659,0,370000,33,0
4355,0,2,38313,3090,50000,25,0
4358,0,2,29459,0,30000,43,0
4379,0,2,103986,4000,180000,34,0
4385,0,2,4887,9579,140000,28,1
4388,0,3,101878,0,90000,35,0
4402,0,2,106649,4000,140000,50,1
4405,0,3,57949,0,100000,25,0
4433,0,2,27942,1000,30000,42,0
4445,0,3,100413,0,100000,36,0
4448,0,2,91047,0,90000,52,0
4455,0,2,8237,500,30000,22,0
4471,0,2,52758,2000,70000,35,0
4475,0,2,73786,0,120000,32,0
4481,0,2,1098,0,100000,40,0
4493,0,2,36910,0,50000,26,0
4495,0,2,9384,1000,10000,42,1
4510,0,2,130285,4500,130000,42,0
4517,0,2,66976,2700,80000,39,1
4529,0,2,185523,10007,200000,31,0
4535,0,2,59058,2340,70000,27,1
4538,0,2,11180,0,20000,56,1
4543,0,2,84039,6410,100000,29,0
4570,0,2,19007,1705,30000,43,0
4573,0,2,7676,0,10000,55,0
4580,0,2,162195,5014,200000,50,0
4583,0,2,28013,1200,30000,22,1
4584,0,2,62069,0,110000,54,0
4608,0,2,42096,9162,50000,42,1
4609,0,2,82796,3100,160000,30,0
4611,0,2,30059,869,30000,42,1
4612,0,2,7176,0,350000,35,0
4618,0,2,12934,1500,20000,24,0
4631,0,2,67839,2200,100000,35,0
4641,0,2,79274,2711,150000,31,1
4654,0,2,8264,0,10000,27,1
4660,0,2,48888,2000,100000,50,0
4674,0,2,46497,37,50000,27,0
4691,0,2,23859,3000,160000,37,1
4705,0,2,16442,0,30000,46,1
4714,0,2,14823,37,20000,25,0
4729,0,2,11300,400,50000,26,0
4741,0,2,18720,1000,50000,36,1
4746,0,2,154704,11318,160000,28,0
4747,0,2,51662,3000,110000,27,0
4753,0,2,16159,0,20000,56,0
4754,0,2,2056,60934,260000,44,1
4768,0,2,82068,0,500000,50,0
4769,0,2,622,24037,220000,37,1
4775,0,2,50426,1900,80000,42,0
4813,0,2,34743,0,50000,27,0
4839,0,2,17982,0,50000,22,0
4848,0,2,16197,1552,50000,54,1
4859,0,2,316,932,140000,55,1
4861,0,2,95734,3400,210000,41,0
4867,0,2,4182,1500,130000,29,0
4877,0,2,123449,117880,110000,33,1
4883,0,2,49514,3000,50000,29,0
4884,0,2,134319,5000,150000,32,1
4885,0,2,22101,1000,70000,30,0
4894,0,2,116298,3900,160000,28,0
4897,0,2,75445,5000,390000,42,1
4910,0,2,25227,0,30000,30,0
4918,0,2,141971,6000,160000,35,0
4920,0,2,98479,100000,350000,31,1
4922,0,2,18589,834,180000,27,1
4929,0,2,33,2575,150000,49,1
4932,0,2,18279,1500,30000,29,0
4986,0,2,48052,2200,150000,26,0
4989,0,2,56571,0,130000,32,1
4990,0,2,4960,110,80000,28,1
4993,0,2,78715,2000,80000,36,0
5008,0,2,16083,3198,20000,44,0
5013,0,2,40272,0,30000,40,0
5032,0,2,8042,0,170000,49,0
5036,0,2,527566,18000,400000,45,1
5049,0,2,78445,3100,80000,30,1
5057,0,2,69784,3000,120000,34,0
5065,0,2,20001,0,20000,53,0
5068,0,2,24463,1100,50000,40,1
5076,0,2,29745,0,50000,27,0
5080,0,2,187467,7000,200000,43,0
5085,0,2,134089,42,140000,45,0
5098,0,2,65921,2226,280000,31,0
5113,0,2,77028,3000,150000,33,0
5114,0,2,28620,0,30000,36,0
5116,0,2,11998,0,20000,31,0
5131,0,2,47,5800,260000,39,1
5136,0,2,83282,3200,180000,32,0
5148,0,2,17316,0,50000,25,0
5164,0,2,98072,4000,110000,26,0
5172,0,2,33439,1400,70000,46,0
5178,0,2,76237,3000,190000,50,0
5180,0,2,189681,6054,200000,27,1
5189,0,2,116690,4500,140000,28,0
5215,0,2,17759,1000,320000,50,1
5218,0,2,15252,345,50000,34,1
5233,0,2,38131,10000,50000,35,1
5242,0,2,43253,1572,140000,31,0
5243,0,2,6182,2540,20000,50,0
5261,0,2,39272,1000,40000,24,0
5274,0,2,60569,0,60000,42,0
5285,0,2,150,1000,80000,36,0
5295,0,2,8932,1241,10000,27,1
5317,0,2,16240,3000,50000,26,1
5339,0,4,1650,0,20000,25,0
5342,0,2,540,780,40000,48,1
5349,0,2,114001,8000,220000,28,0
5350,0,2,50626,1800,80000,23,0
5351,0,2,16287,0,20000,24,1
5365,0,2,79657,2800,80000,30,0
5369,0,2,44024,2000,100000,44,1
5372,0,2,9241,1000,10000,40,0
5391,0,2,172084,4000,200000,37,0
5393,0,2,27227,0,90000,28,0
5399,0,2,14464,1365,50000,27,1
5405,0,2,27383,910,130000,36,0
5455,0,2,44621,0,80000,31,0
5473,0,2,20082,600,20000,55,0
5486,0,3,1150,0,30000,28,0
5488,0,2,25553,1000,30000,33,0
5496,0,2,5309,1000,100000,36,1
5499,0,2,137885,5300,150000,66,0
5502,0,2,777,500,290000,55,1
5504,0,2,158,13391,80000,31,1
5512,0,2,28621,0,30000,36,0
5515,0,2,2812,6000,340000,40,1
5537,0,2,10006,1500,30000,24,1
5572,0,2,33123,1300,100000,30,0
5580,0,2,27903,0,30000,58,0
5593,0,2,28042,2200,30000,49,0
5602,0,2,18320,1000,70000,33,1
5611,0,2,168283,0,160000,27,0
5638,0,2,30895,14100,200000,29,1
5643,0,2,72233,0,80000,41,0
5651,0,2,589,0,30000,38,0
5682,0,2,14790,1200,30000,23,0
5683,0,2,15308,600,30000,26,1
5714,0,2,30508,0,30000,22,0
5718,0,2,1070,3103,260000,33,1
5722,0,2,15184,0,30000,27,0
5724,0,2,33115,2275,80000,22,1
5725,0,2,49978,0,50000,25,0
5727,0,2,28598,1056,120000,37,0
5737,0,2,40922,1600,90000,35,1
5739,0,2,11232,0,20000,23,0
5743,0,2,21743,0,30000,59,0
5747,0,2,84805,2700,120000,38,0
5750,0,2,253,3144,160000,30,1
5751,0,2,159416,0,160000,37,0
5756,0,2,15105,600,30000,29,0
5788,0,2,144482,0,160000,40,1
5795,0,2,36713,734,210000,33,1
5800,0,2,9165,10000,50000,23,1
5813,0,2,116577,4500,190000,36,0
5834,0,2,28492,1988,30000,26,1
5838,0,7,2400,0,10000,26,0
5846,0,2,55826,4000,60000,59,0
5847,0,2,82472,87,90000,43,0
5853,0,2,71272,0,200000,28,0
5871,0,2,148963,5500,180000,30,1
5875,0,2,93766,0,100000,35,0
5886,0,2,11167,215,20000,29,0
5902,0,2,131290,0,140000,27,0
5903,0,2,46882,0,50000,30,0
5904,0,2,11133,1000,50000,45,0
5916,0,7,150,0,110000,41,0
5935,0,2,60981,2500,120000,31,1
5964,0,2,21854,0,220000,32,0
5980,0,2,18753,0,70000,24,0
5986,0,2,33524,0,100000,44,0
5989,0,2,111885,171574,280000,28,1
5998,0,2,40428,3000,200000,26,1
6003,0,2,76610,0,90000,30,0
6015,0,2,34476,1500,50000,25,1
6032,0,2,350,0,330000,33,0
6041,0,6,1800,0,20000,23,0
6045,0,2,4957,0,500000,55,0
6046,0,2,177141,6200,200000,27,0
6056,0,4,150,0,50000,49,0
6062,0,2,149697,5200,150000,36,0
6073,0,2,2270,0,50000,30,0
6079,0,2,145506,5500,150000,25,0
6085,0,3,1050,0,10000,23,0
6086,0,2,138455,5000,140000,37,0
6089,0,2,34280,0,90000,24,0
6109,0,2,116937,0,120000,35,0
6112,0,2,117283,4400,120000,36,0
6120,0,2,24301,2200,50000,24,0
6122,0,2,93613,2100,250000,29,1
6123,0,2,24036,2000,150000,39,0
6139,0,2,50265,2000,50000,36,1
6146,0,2,98173,3800,100000,46,0
6147,0,2,35637,0,100000,38,0
6155,0,2,25413,1100,30000,34,0
6175,0,2,111842,4000,110000,32,0
6211,0,2,49094,0,50000,34,0
6221,0,2,780,0,60000,27,1
6224,0,2,87207,4000,90000,28,1
6225,0,2,166627,0,190000,34,1
6244,0,2,82567,0,120000,36,0
6269,0,2,95079,0,120000,29,0
6272,0,6,1800,0,10000,23,0
6274,0,2,67254,3000,210000,30,1
6278,0,2,25453,1000,110000,32,1
6301,0,2,10118,0,30000,24,0
6319,0,2,17695,0,20000,27,1
6321,0,2,25285,2191,30000,51,0
6334,0,2,175140,20000,220000,44,1
6335,0,2,70392,1165,70000,33,0
6349,0,2,68349,2000,80000,34,0
6358,0,2,3518,0,50000,40,0
6359,0,2,335,0,310000,48,1
6362,0,2,59654,0,100000,28,1
6369,0,2,17582,8000,40000,26,0
6375,0,2,1749,70200,500000,45,1
6380,0,2,30931,0,70000,27,1
6387,0,2,25988,680,50000,29,0
6396,0,2,1752,0,50000,26,0
6404,0,2,41432,1700,100000,27,1
6417,0,2,111575,0,110000,39,0
6421,0,2,63787,3000,200000,33,1
6439,0,2,166,0,110000,54,1
6456,0,2,58351,2315,80000,28,0
6477,0,2,148632,96,400000,29,1
6486,0,2,29975,1000,50000,25,0
6492,0,2,188567,0,300000,38,0
6493,0,2,29862,0,30000,40,0
6501,0,2,9265,502,10000,47,1
6507,0,2,7199,1200,50000,52,1
6510,0,3,1050,0,50000,25,0
6528,0,2,25836,1500,80000,49,0
6540,0,2,78470,5100,80000,28,0
6541,0,2,61325,0,60000,31,0
6547,0,2,48191,2000,50000,26,1
6556,0,2,26947,4670,30000,38,1
6557,0,2,19200,500,20000,22,0
6565,0,2,56130,2000,60000,31,1
6567,0,2,4302,1000,160000,32,1
6576,0,2,17149,0,20000,23,0
6582,0,2,223434,0,240000,40,0
6583,0,2,186507,5600,200000,29,0
6601,0,2,7669,1000,20000,24,0
6609,0,2,9803,1000,10000,22,1
6618,0,2,17129,2000,110000,26,1
6625,0,2,33266,4622,220000,30,1
6626,0,2,291,0,240000,27,1
6628,0,2,58430,2000,60000,37,0
6630,0,2,21205,2000,30000,44,0
